free_text,label_id
Check inbox hoặc gọi mình 0983706408 để lấy hàng,0
"Kiếm tiền triệu mỗi ngày, click https://zalo.me/mkrouuci",3
"Thu mua sim số đẹp giá cao, liên hệ 0986439417",3
"Bán số lô số đề chuẩn 100%, add zalo 0819791747",3
"Hỗ trợ mình qua số 0779850134 với, app bị lỗi",0
Check inbox hoặc gọi mình 0882821806 để lấy hàng,0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://gg.gg/werre1kz",3
Đây là link driver ảnh hôm qua nhé: https://bit.ly/ud61t453,0
Cho mình đặt phòng số 0886158861 nhé shop,0
"Mình cần đặt lịch khám, sđt 0881213938",0
Check inbox hoặc gọi mình 0819799194 để lấy hàng,0
Nhận quà tri ân từ Shopee tại https://bit.ly/k8byyckt,3
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0357941187,3
"Tuyển CTV online lương 10tr/tháng, ib zalo 0776949145",3
Tư vấn cho mình qua zalo 0355778139 với ạ,0
Cho mình đặt phòng số 0889418469 nhé shop,0
"Vay vốn nhanh không thế chấp, alo 0345301501",3
Cho mình đặt phòng số 0981973151 nhé shop,0
"Cần tiền gọi ngay 0779711875, hỗ trợ nợ xấu",3
Nhận ngay 500k tiền thưởng tại https://tinyurl.com/y3em65zy,3
Nhận ngay 500k tiền thưởng tại https://gg.gg/q46eewsd,3
"Bạn trúng thưởng 1 xe SH, xác thực tại https://shope.ee/24q6uexc",3
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0812302755",3
"Tuyển CTV online lương 10tr/tháng, ib zalo 0346193492",3
Cho mình đặt phòng số 0817033048 nhé shop,0
"Số của mình là 0776491560, có gì alo nha",0
"Game nổ hũ cực lớn, click https://zalo.me/6abxvyko nhận code",3
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0347997715,3
"Số của mình là 0819128109, có gì alo nha",0
"Gái gọi cao cấp, xem ảnh tại https://t.me/6xcj7yyx",3
"Thu mua sim số đẹp giá cao, liên hệ 0334381395",3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://bit.ly/a2hdnk1a",3
"Tài khoản bị khóa, vào https://bit.ly/xdy9mxfa để mở",3
"Hack vàng, hack kim cương cực uy tín tại https://tinyurl.com/lnfukz5o",3
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0818118024",3
Check inbox hoặc gọi mình 0353301502 để lấy hàng,0
Check inbox hoặc gọi mình 0912815358 để lấy hàng,0
"Check đơn giúp mình, sđt mình 0349909780",0
Mọi người xem menu quán ở đây nha: https://zalo.me/7q29t35k,0
"Bên mình cung cấp phôi bằng các loại, alo 0772554873",3
"Game nổ hũ cực lớn, click https://tinyurl.com/aoxi33wb nhận code",3
"Cơ hội làm giàu không khó, truy cập https://t.me/a8ac90pn",3
Shop gọi lại số 0359735692 tư vấn tour nhé,0
"Hack vàng, hack kim cương cực uy tín tại https://bit.ly/jdhans3l",3
"Cơ hội làm giàu không khó, truy cập https://shope.ee/yrzhrsc1",3
Có gì cứ liên hệ tớ qua 0881965605 nha bạn,0
"Hỗ trợ mình qua số 0902646215 với, app bị lỗi",0
"Vay vốn nhanh không thế chấp, alo 0818051700",3
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0907491018",3
